,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,freq 4,height 0,height 1,height 2,height 3,height 4,width 0,width 1,width 2,width 3,width 4,prominence 0,prominence 1,prominence 2,prominence 3,prominence 4,second harmonics,Label for OM and EL,target
25,13,4,8.199596972377865,7.899611717290869,1.2999361053769785,0.8999557652609851,2.1998918706379635,0.01905729589731364,0.005806198301810879,0.005291523872052175,0.004651848635169109,0.004249087016946799,1.4778280863355064,0.9164100512172979,6.056118837147094,3.554259467912517,1.0279454643387886,0.01891678557464801,0.002701444130735529,0.00431222024762818,0.0016100808187570073,0.002178994937530811,0,1,1.0
26,10,2,8.199596972377865,0.6999655952029884,1.19994102034798,0.9999508502899834,1.5999213604639737,0.03168187352771465,0.029230312682341324,0.029059832876836562,0.028571646670473308,0.02537255125880377,1.509281336759173,19.589357418705923,1.6435406032404583,0.8735178363121108,0.5856036063518744,0.02933477231464866,0.026107876266842585,0.002093323308518278,0.0011990946747624624,0.0007347690487301446,0,1,1.0
27,4,2,11.9994102034798,5.9997051017399015,17.999115305219703,2.39988204069596,11.399439693305812,0.02021107822550797,0.00421232986195889,0.0020754528197134262,0.001916874636765718,0.0015094069276111511,1.215173937399868,1.3047406729073927,1.397358506286679,2.159593825589642,1.267389207060404,0.020191800055231468,0.004188114126265079,0.0020670367914911417,0.0017383173857525329,0.0014738533605726633,1,1,1.0
28,3,3,11.9994102034798,5.9997051017399015,17.999115305219703,2.1998918706379635,1.5999213604639737,0.00886748913844313,0.005086383563633142,0.0016007373557655597,0.0007654723141364327,0.0007263273527567773,1.2176694892861804,1.4318224312670864,1.3131149041335561,4.501396523949193,2.028301717898678,0.008862338848189186,0.0050284622938631144,0.001555293794365856,0.0006989744614663212,0.0003344314873565629,1,1,1.0
29,3,3,11.9994102034798,5.9997051017399015,17.999115305219703,1.4999262754349751,1.6999164454929718,0.020392450764583958,0.012161080374848634,0.003386879821124167,0.003105903514925439,0.002991329970002203,1.1984988125606009,1.214136104040712,1.2959275456786088,5.391502061369113,0.58182526051311,0.020355847344380573,0.01205958957602722,0.003354735906415599,0.0029364559978413136,0.0002491425520696126,1,1,1.0
30,7,4,11.9994102034798,5.9997051017399015,2.099896785608965,1.6999164454929718,3.2998378059569453,0.014157471358971987,0.006052418229518251,0.002952186516954505,0.002701199771861927,0.0015954079082004695,1.1879792834356095,1.3308383696224482,1.4560298916754455,1.2593379569944627,3.547319621568807,0.014081313713794496,0.005962671230805266,0.002839887690191341,0.0022205839533238165,0.0014621310530629292,1,1,1.0
31,20,4,11.9994102034798,5.099749336478915,2.899857465840952,5.9997051017399015,4.599773911333924,0.012260411265541624,0.0023184663891006657,0.002283701550178614,0.0021228172261042407,0.0019164449367440805,1.3400043728220368,1.4097124765935192,1.5055523514375722,1.5625966900358108,3.993137316425795,0.012254000061446104,0.002276116810162985,0.002059081227041914,0.001601059373903268,0.0013225642071539908,1,1,1.0
32,11,2,11.9994102034798,5.9997051017399015,3.5998230610439403,5.299739506536913,2.9998525508699503,0.010604777018627585,0.0024531563283775185,0.002378512511912604,0.0017076916170697294,0.001598452126177933,1.2497081659323896,1.6322073916048367,3.021321702709166,1.798196633933273,3.076956030107919,0.010572607706685104,0.0023936891954448045,0.00217563377207153,0.001231467411636121,0.0013215384763947758,1,1,1.0
33,3,3,5.9997051017399015,11.9994102034798,17.999115305219703,12.399390543595796,17.39914479504571,0.015234759759520884,0.014749799972030376,0.008715557646439645,0.0011116281015659997,0.0010438033082358009,1.0808556795324549,1.2197757998536645,1.3632021339660128,0.6849153575651457,1.5625835456514778,0.015200135373415828,0.014715713736889144,0.00867070571453944,0.00023019020328457354,0.000888804205268393,1,1,1.0
34,13,4,9.811103650347944,0.9935294835795386,19.622207300695887,0.745147112684654,1.862867781711635,0.015301059938744706,0.011159131979840654,0.007388377473751394,0.0073458025653150485,0.006850105491409378,1.0651609448493389,3.640938673909168,1.3659026451938132,0.6450377230487838,1.8745435017379002,0.015235961000830248,0.010854540690884954,0.007344269919814104,0.0013144416595646585,0.003604565377543452,1,1,1.0
35,20,13,9.811103650347944,0.9935294835795386,0.6209559272372116,1.862867781711635,1.6144854108167503,0.01974699079491705,0.018751993595811527,0.014923841032099204,0.013947595055059287,0.01386620094916937,1.1361760349899868,6.229005897536012,2.4937029659717767,2.8211951916947644,0.7298011151871773,0.01937350691388949,0.016769167445328755,0.0037582908051680807,0.005060948871430951,0.0022886144765139112,0,1,1.0
36,9,6,9.811103650347944,1.2419118544744232,19.622207300695887,2.1112501526065195,1.490294225369308,0.018959460186775384,0.008304281538629124,0.008228888938261757,0.007653516377025799,0.0051708060045665685,1.1226024784209585,1.6174067730695096,1.3038240888622,1.259956771363541,0.8387567748251925,0.018864040978839633,0.007625497755645736,0.008178684841084671,0.0066174365941442295,0.002801333039286322,1,1,1.0
37,11,7,9.811103650347944,19.622207300695887,0.745147112684654,2.1112501526065195,1.2419118544744232,0.020061105240663103,0.011241538400570314,0.007502751447643868,0.006126566113746103,0.005880544112284493,1.0978695746930924,1.3733115171145869,1.405521646884912,1.1865163159475323,1.3325924509995648,0.019901356804512632,0.011194886984719253,0.007096771215542563,0.005183984283065976,0.003814228407660605,1,1,1.0
38,5,3,9.811103650347944,19.622207300695887,0.9935294835795386,1.862867781711635,2.235441338053962,0.0137149793753614,0.0068913775316679785,0.006122873351090854,0.004124796076806232,0.003464987262943516,1.1194920803026491,1.3829418458952318,2.5136384121586675,3.998315770033285,1.6836732725779537,0.013644611430887712,0.006835550225780338,0.005653687584649333,0.002885776203825359,0.0007702388936448442,1,1,1.0
39,2,2,9.811103650347944,19.622207300695887,0.9935294835795386,1.2419118544744232,1.7386765962641926,0.024507575980615637,0.01242920122653939,0.005245022384474844,0.004060077018224417,0.003479526151146977,1.1290826216820875,1.3261726719464662,2.634033336393964,1.4897852713798798,1.6847807320097754,0.02444724055567481,0.012400401572974062,0.004890956601359738,0.0014969623764743293,0.0011576796810320532,1,1,1.0
