,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,second harmonics,Label for OM and EL,target
451,8,3,8.199596972377865,16.39919394475573,3.9998034011599337,0.028078489528430117,0.010713620805427477,0.00909232776485266,1.259203723026829,3.860689756005968,2.373431215115289,0.027804192364578494,0.010606576585428096,0.008808940941036708,1,1,0.0
452,18,3,8.199596972377865,16.39919394475573,7.999606802319867,0.03153615968515283,0.013875559700907305,0.009472488098802679,1.3281161004185265,3.6725238423451856,1.5239240922961983,0.03093156949427197,0.013527301043394741,0.0019909606174987587,1,1,0.0
453,4,1,8.199596972377865,16.39919394475573,8.599577312493857,0.06028653485133882,0.028697596923226605,0.009451311331888184,1.3950207540480477,3.6122204276309446,1.04139667306913,0.060135510039346474,0.028500975017207126,0.00469327334759431,1,1,0.0
454,6,1,8.199596972377865,16.39919394475573,15.899218519610734,0.026379828788607708,0.013573507170089209,0.003944366184188123,1.3767945447914371,3.5304172280471278,1.0773830962786235,0.02622654875596807,0.013482129602889945,0.0025515172712891063,1,1,0.0
455,20,12,8.199596972377865,16.39919394475573,7.999606802319867,0.01618326967220866,0.0101399198397349,0.005453289961587458,1.372796542944556,3.5830848693309747,0.566422919922104,0.016119085168813177,0.009959463150168393,0.00028046614281049265,1,1,0.0
456,27,11,8.199596972377865,7.999606802319867,6.499680526884892,0.021540209018306937,0.009289959009078388,0.007035511917785279,1.4325411384846234,0.5660683511364653,1.4877883699232655,0.021297881886170607,0.0005461145847973463,0.0065830899958561895,0,1,0.0
457,2,1,8.199596972377865,7.899611717290869,16.39919394475573,0.03767829369582545,0.00782708939178157,0.006985890013174411,1.3787248938842396,0.5102165658020823,3.621839489595885,0.037363417948924456,0.00014888857376047556,0.006929716777225548,1,1,0.0
458,4,1,8.199596972377865,16.39919394475573,3.9998034011599337,0.03612358354440267,0.009868054855204672,0.00689754670358478,1.3530482608919812,3.9938267721185525,1.3693930646541617,0.03600286939147571,0.009719315915557195,0.006338099688106452,1,1,0.0
459,7,1,8.199596972377865,16.39919394475573,16.199203774697732,0.045155900299063516,0.01194524199728862,0.009229768680929869,1.3729020376774344,3.901357473901811,0.5693038189205595,0.04488681689120984,0.011758792288213974,0.0005200475807590459,1,1,0.0
460,11,1,8.199596972377865,16.39919394475573,7.899611717290869,0.045566525060204616,0.017088345172145546,0.011028307031612129,1.3853534359434292,3.66846213127468,0.542841150150096,0.04514175648874724,0.016850078414009543,0.0007853734520280979,1,1,0.0
461,3,1,8.199596972377865,16.39919394475573,7.899611717290869,0.0895500874213268,0.03811917980249711,0.02076841661036322,1.445428868200807,3.6364564145295617,0.5248879989275395,0.08936730520940096,0.037741847871065895,0.000824638682133564,1,1,0.0
462,39,16,1.19994102034798,0.5999705101739901,16.39919394475573,0.01829309000177695,0.017374308008477828,0.016071112406515268,2.5735780640964023,3.398693325456407,3.3535678880938633,0.016019595554769485,0.012036276231738783,0.01562980987018859,1,1,0.0
463,41,25,8.199596972377865,4.399783741275927,1.3999311904059768,0.0207029531418561,0.012464570424812249,0.01214533053930172,1.2474613160123482,1.764065953062513,1.6696861248174386,0.0202083950528276,0.011950697577869502,0.011454124185304053,0,1,0.0
464,3,1,8.199596972377865,7.899611717290869,16.39919394475573,0.03812850840138268,0.008162637762962338,0.0060008085570176254,1.369831792485087,0.5521957473308277,3.5105998358980344,0.037976894422986684,0.0007414096284967834,0.005944250755018792,1,1,0.0
465,3,1,8.199596972377865,16.39919394475573,7.899611717290869,0.0439566353444073,0.0110420904638537,0.009314431371270231,1.4092277043407506,3.8849379432465696,0.5938658649650819,0.04385068381293375,0.0109940844773251,0.0013523305100189096,1,1,0.0
466,27,10,8.199596972377865,6.599675611913892,7.299641207116879,0.007220407906749771,0.003464384666402764,0.003266634486980517,2.192470337830514,2.321055131876655,1.1193705078350575,0.0071481265599674755,0.0033799261517182505,0.0028071697490045008,0,1,0.0
