,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,second harmonics,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,height 0,height 1,height 2,width 0,width 1,width 2,prominence 0,prominence 1,prominence 2,second harmonics,target
10,23,8,11.940370370370374,0.9274074074074076,6.0281481481481505,0.005225436803385645,0.0018128561096834,0.0017379042408270386,1.406704824609207,2.68379900113273,1.4209166475134154,0.00520546354152428,0.0017906339421692183,0.00162561366539088,1,13,2,11.851851851851851,7.407407407407407,10.370370370370368,5.891806062908657,2.5586689786580457,2.4884014494154068,2.844980908822592,2.5630773830047175,4.570550279715263,5.857605213832762,2.398579408978695,2.159725871094974,0,1.0
11,19,6,11.940370370370374,0.9274074074074076,1.3911111111111114,0.005198831891752101,0.0029455229961486322,0.0028281538102455602,1.3767269703152891,2.4706596678082917,1.229050791420784,0.005176869782611045,0.0028740992282883333,0.0018416130136373172,0,20,6,8.433048433048434,7.407407407407407,11.965811965811966,3.564295822282602,2.9418788455417206,2.9217677737917582,2.1309688704512695,2.3412109511761727,2.653560954973983,3.501452298043467,2.4194338483448767,2.8910101399132504,0,1.0
12,33,21,4.057407407407409,2.550370370370371,11.824444444444447,0.006315650846802815,0.0059214864688431155,0.005546925433748402,5.118465166213742,4.272014770957284,2.048105059823399,0.006036280943911017,0.004260329531794449,0.005290315123119059,0,6,1,11.851851851851851,10.370370370370368,13.333333333333336,8.262071291729228,2.2043362862147027,1.9493230731789373,2.691714181179293,3.1285919721720603,3.4024264628894656,8.203705542809777,1.8766495467163853,1.4078090806923123,0,1.0
13,2,1,8.199596972377865,16.39919394475573,8.599577312493857,0.035416476510030534,0.012501971681661127,0.004942769233467869,1.3738939335367917,3.7415705023765042,1.0018084245840981,0.03529150915319246,0.012412539214993775,0.0028330746790114565,1,1,1,9.633343163275336,19.266686326550676,9.928241423375603,11.90710262960352,3.0578874842895005,1.5449957069952411,1.4372135833969253,2.0408354281097445,2.349623610870694,11.875595331616811,3.0266438338807955,1.1014085037060812,1,1.0
14,5,1,8.199596972377865,16.39919394475573,8.599577312493857,0.05517619960891559,0.018413153460554086,0.007639353781976663,1.385164559275907,3.6502856811309243,1.0059237547136775,0.05489856369400736,0.01819366437265495,0.004142287220685622,1,2,1,9.633343163275336,19.266686326550676,9.928241423375603,10.93583356696894,2.977945934559308,1.308334015692763,1.4316250105122208,2.015064554897606,2.6321053986517597,10.916855026722097,2.9740510751387093,0.8242329027016517,1,1.0
15,5,1,8.199596972377865,16.39919394475573,7.899611717290869,0.051742808330519766,0.019237905530229273,0.012324550849946662,1.4173421123986998,3.5951844304912015,0.5704452351314728,0.05165258601921884,0.019162485464599838,0.0013905074736384748,1,2,1,9.633343163275336,19.266686326550676,9.928241423375603,10.292130755587467,2.0349224498968606,1.3033606687177923,1.4521476019585435,1.8894551182363273,3.0526517824651336,10.238410144160884,2.029297956425078,1.0363910686964313,1,1.0
16,6,2,8.199596972377865,16.39919394475573,7.899611717290869,0.050339269164792484,0.017751722296190542,0.011920073798539996,1.425947560104774,3.67978655602289,0.5996559302147517,0.05012801575070768,0.017583473047035166,0.001860594028697116,1,1,1,9.633343163275336,9.928241423375603,19.266686326550676,9.199879900402662,1.1273180285580011,1.0998733053646377,1.4481678916903888,1.9795053238756282,2.109902050884841,9.194017024941363,0.615220615090696,1.085231848297603,1,1.0
17,9,4,8.199596972377865,16.39919394475573,7.999606802319867,0.02872123938599955,0.02512915188071637,0.009973189427752641,1.2529077713043364,3.3120509220142935,1.1685753899949702,0.028449280783723142,0.024880392557726068,0.004102364631076786,1,2,1,9.633343163275336,19.266686326550676,9.82994200334218,14.790234117874679,3.4800329251211637,2.0594318912779515,1.4236513225561254,2.0757226666584643,2.5328147097628033,14.732741484344093,3.472853274523971,1.1589469392505687,1,1.0
18,13,4,8.199596972377865,7.899611717290869,1.2999361053769785,0.01905729589731364,0.005806198301810879,0.005291523872052175,1.4778280863355064,0.9164100512172979,6.056118837147094,0.01891678557464801,0.002701444130735529,0.00431222024762818,0,7,2,9.633343163275336,19.266686326550676,2.1625872407352795,5.69307444658046,5.383583653142441,1.3040161661452243,1.4274063307467628,1.967098355873759,2.2964077565203205,5.671715036677818,5.369318160828281,1.1879223759521624,1,1.0
19,10,2,8.199596972377865,0.6999655952029884,1.19994102034798,0.03168187352771465,0.029230312682341324,0.029059832876836562,1.509281336759173,19.589357418705923,1.6435406032404583,0.02933477231464866,0.026107876266842585,0.002093323308518278,0,1,1,9.633343163275336,9.82994200334218,19.266686326550676,10.401039914531966,1.367166819254551,0.8268862128857377,1.4335954729667293,2.616142711126898,1.9895181259753372,10.330620276784787,0.9349115067194849,0.8188048508703372,1,1.0
