,#peaks_0.05,#peaks_0.1,freq 0,freq 1,freq 2,freq 3,freq 4,height 0,height 1,height 2,height 3,height 4,width 0,width 1,width 2,width 3,width 4,prominence 0,prominence 1,prominence 2,prominence 3,prominence 4,second harmonics ,target
641,16,12,1.7500000000000004,1.2500000000000002,0.5000000000000001,1.0000000000000002,0.7500000000000002,0.016476617186270682,0.0154826473462539,0.012578874014044856,0.01161316794658417,0.011480999535380482,2.075531459617924,2.343916059216408,0.7919524643271809,0.6816041321867781,0.9438887572305807,0.01589943521795033,0.010715554542391481,0.006307009604514959,0.0017276805404097574,0.004624553034519964,1,0.0
642,27,15,9.875000000000002,19.625000000000004,1.5000000000000004,2.7500000000000004,1.8750000000000004,0.00578666125131386,0.004466839942992672,0.003435173113589842,0.0024867306920390397,0.0024011161494684376,2.160188425157827,1.3680918540207472,2.421965543763129,2.267096745864837,1.6457660822210993,0.005702682219190427,0.004410494317531162,0.003320258272533792,0.00196528522242337,0.001572457459589545,1,0.0
643,22,10,0.7500000000000002,1.5000000000000004,0.3750000000000001,2.0000000000000004,9.875000000000002,0.011918262809076556,0.011498837345412594,0.010333476262628724,0.01004654285995036,0.008954228552810964,5.016979509750694,1.3600453569030293,0.6192786068445184,1.8645737004512153,2.082762872943789,0.010437286337974814,0.00869027053704065,0.0010622327692141036,0.005835582789498966,0.008653208002148517,1,0.0
644,15,9,9.875000000000002,1.5000000000000004,1.8750000000000004,0.7500000000000002,1.1250000000000002,0.010143186502980359,0.0061859500913272435,0.005833241971689169,0.00581312322530796,0.005241895237662334,2.1158508932370523,1.579769941179558,1.1280379582271713,2.645142983158399,0.789884875991949,0.01004489531035909,0.005432627868564863,0.005381931613414906,0.004711940438506713,0.002200702774389479,1,0.0
645,4,1,1.1250000000000002,0.7500000000000002,1.8750000000000004,2.1250000000000004,3.0000000000000013,0.02123659314175239,0.018015468079239275,0.014095679136019144,0.013768619350122194,0.0091992200717427,12.190038376099338,0.6127741780895217,0.6189971659110931,1.040774263393864,2.5500774840447775,0.017474919973039675,0.0006853204214267855,0.00038949485743513916,0.001309512204927414,0.0007852505098460087,0,0.0
646,6,5,19.625000000000004,1.0000000000000002,9.875000000000002,4.875000000000001,2.0000000000000004,0.006374013019217724,0.0021109292702534,0.001840835061155714,0.001692367144503393,0.0015497355187496509,1.3090825387408245,3.0320429009797136,2.1179890921861073,1.3014617473569317,3.164782273615433,0.006345989724541365,0.001866367335496521,0.00181067176412575,0.0015704881807350687,0.0011000333600029106,1,0.0
647,16,8,0.7500000000000002,9.875000000000002,19.625000000000004,2.6250000000000004,1.2500000000000002,0.00785988817398618,0.007010486353929236,0.00540489836044053,0.004679871078102992,0.0044777645914697494,3.9335564022091676,2.2659856719235876,1.3257227051565508,1.1810531094278076,0.9820883328888499,0.007616102870321434,0.007002262016470661,0.0053977981005877106,0.004457686274854405,0.0010554345498682031,1,0.0
648,7,4,9.875000000000002,19.625000000000004,1.8750000000000004,0.7500000000000002,2.3750000000000004,0.012980637918683766,0.0068345745092828316,0.0031191658990625732,0.002751779389967885,0.002545411276881825,2.218249975801399,1.2796190984039981,1.733160644689562,2.312148946101761,1.4265317042962273,0.012917901320458771,0.006816906491329958,0.002698247215923092,0.0022938856514117703,0.001916651235901567,1,0.0
649,3,2,9.875000000000002,19.625000000000004,4.875000000000001,2.1250000000000004,10.500000000000002,0.01668426297895417,0.012027350674235148,0.0022701045086267685,0.0016615497734675069,0.0015263199602134,2.2567633289189217,1.2980414948920043,1.286070417908256,4.116012755555424,0.7347220302749946,0.016603518851656576,0.012006174881136986,0.00216601388314944,0.0015600851896947446,0.00012034789941544558,1,0.0
650,6,3,19.625000000000004,9.875000000000002,1.0000000000000002,1.2500000000000002,2.1250000000000004,0.010423113558293404,0.007766062035421158,0.004076588640880856,0.0024603076438243754,0.0014006943111371138,1.3085962442626453,2.214246866290324,1.536548883795441,0.7504631030285012,2.141920284598843,0.010404420549327007,0.007737206278592724,0.0038236995140772563,0.0008201313201375701,0.0005776164832434401,1,0.0
